"","MetaboliteName","SuperClass","Class","SubClass","Level5","Level6","Level7"
"9","4-methylumbelliferone_glucuronide","Phenylpropanoids and polyketides","Coumarins and derivatives","Coumarin glycosides",NA,NA,NA
"10","2-benzoxazolinone","Organoheterocyclic compounds","Benzoxazoles","Benzoxazolones",NA,NA,NA
"11","daidzein_4'-glucuronide","Phenylpropanoids and polyketides","Isoflavonoids","Isoflavonoid O-glycosides",NA,NA,NA
"19","malic_acid","Organic acids and derivatives","Hydroxy acids and derivatives","Beta hydroxy acids and derivatives",NA,NA,NA
"30","indoxyl_sulfate","Organic acids and derivatives","Organic sulfuric acids and derivatives","Arylsulfates",NA,NA,NA
"35","2-aminophenol","Benzenoids","Benzene and substituted derivatives","Aniline and substituted anilines",NA,NA,NA
"36","cis-resveratrol_4'-glucuronide","Phenylpropanoids and polyketides","Stilbenes","Stilbene glycosides",NA,NA,NA
"37","trans-resveratrol_4'-glucuronide","Phenylpropanoids and polyketides","Stilbenes","Stilbene glycosides",NA,NA,NA
"45","2,4-dihydroxy-1,4-benzoxazin-3-one","Organoheterocyclic compounds","Benzoxazines","Benzoxazinones",NA,NA,NA
"47","carnosine","Organic acids and derivatives","Peptidomimetics","Hybrid peptides",NA,NA,NA
"53","3,4-dihydroxybenzoic_acid_3-glucuronide","Phenylpropanoids and polyketides","Tannins","Hydrolyzable tannins",NA,NA,NA
"60","genistein_diglucuronide","Phenylpropanoids and polyketides","Isoflavonoids","Isoflavonoid O-glycosides",NA,NA,NA
"70","α-linolenic_acid","Lipids and lipid-like molecules","Fatty Acyls","Lineolic acids and derivatives",NA,NA,NA
"75","enterodiol","Lignans, neolignans and related compounds","Dibenzylbutane lignans","Dibenzylbutanediol lignans",NA,NA,NA
"86","3-hydroxyphenylacetic_acid","Benzenoids","Phenols","1-hydroxy-4-unsubstituted benzenoids",NA,NA,NA
"90","5-(3'-methoxy-4'-hydroxyphenyl)-γ-valerolactone","Benzenoids","Phenols","Methoxyphenols",NA,NA,NA
"93","2,4-dihydroxy-7-methoxy-1,4-benzoxazin-3-one","Organoheterocyclic compounds","Benzoxazines","Benzoxazinones",NA,NA,NA
"94","daidzein_7-glucuronide-4'-sulfate","Phenylpropanoids and polyketides","Isoflavonoids","Isoflavonoid O-glycosides",NA,NA,NA
"101","cyclamate","Organic acids and derivatives","Sulfamic acid derivatives","Cyclamates",NA,NA,NA
"108","trans-piceid","Phenylpropanoids and polyketides","Stilbenes","Stilbene glycosides",NA,NA,NA
"120","3-methylgallic_acid_5-glucuronide","Phenylpropanoids and polyketides","Tannins","Hydrolyzable tannins",NA,NA,NA
"122","luteolin","Phenylpropanoids and polyketides","Flavonoids","Flavones",NA,NA,NA
"131","rumenic_acid","Lipids and lipid-like molecules","Fatty Acyls","Lineolic acids and derivatives",NA,NA,NA
